epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,2222.47,0.80844,0.68255,1.07486,0.92615,0.85069,0.8895,0.57446,1.25971,0.84715,1.22841,0.000511769,0.000511769,0.000511769
72,2252.03,0.86799,0.70591,1.12057,0.92306,0.85069,0.90847,0.60422,1.24193,0.8323,1.22176,0.000495266,0.000495266,0.000495266
73,2282.03,0.88158,0.70236,1.11698,0.96853,0.84272,0.92958,0.60664,1.25794,0.85273,1.20457,0.000478762,0.000478762,0.000478762
74,2312.24,0.80304,0.66427,1.06962,0.95708,0.84487,0.89888,0.60297,1.19291,0.85526,1.17814,0.000462259,0.000462259,0.000462259
75,2342.67,0.78806,0.69139,1.04934,0.90517,0.81775,0.86958,0.61384,1.18001,0.92227,1.13977,0.000445756,0.000445756,0.000445756
76,2373.75,0.81155,0.63233,1.07206,0.95381,0.76389,0.87772,0.60154,1.22364,0.89969,1.16677,0.000429253,0.000429253,0.000429253
77,2404.54,0.83786,0.64204,1.1189,0.90614,0.88632,0.93868,0.60395,1.24154,0.85648,1.19592,0.000412749,0.000412749,0.000412749
78,2434.22,0.81341,0.67805,1.10512,0.94002,0.87004,0.93245,0.5904,1.26501,0.84449,1.20638,0.000396246,0.000396246,0.000396246
79,2464.41,0.79666,0.66191,1.08477,0.88649,0.90774,0.92887,0.59786,1.24159,0.86796,1.18823,0.000379743,0.000379743,0.000379743
80,2494.44,0.7716,0.59439,1.059,0.81313,0.87704,0.91225,0.60582,1.22463,0.8428,1.18745,0.000363239,0.000363239,0.000363239
81,2524.35,0.77789,0.60283,1.07705,0.8923,0.85417,0.90758,0.57747,1.32003,0.84951,1.22231,0.000346736,0.000346736,0.000346736
82,2554.61,0.77068,0.62302,1.06043,0.95223,0.79742,0.91405,0.59038,1.28524,0.8141,1.20449,0.000330233,0.000330233,0.000330233
83,2585.01,0.74977,0.63312,1.05145,0.97003,0.84153,0.9256,0.58868,1.22927,0.75111,1.1858,0.000313729,0.000313729,0.000313729
84,2615.4,0.73137,0.58771,1.02695,0.96288,0.81903,0.8983,0.58028,1.23567,0.78646,1.17433,0.000297226,0.000297226,0.000297226
85,2645.87,0.8163,0.61955,1.09889,0.96402,0.80785,0.90953,0.57286,1.25928,0.82555,1.19,0.000280723,0.000280723,0.000280723
86,2676.19,0.71802,0.58182,1.03298,0.96125,0.80434,0.90554,0.57042,1.27052,0.84906,1.19751,0.00026422,0.00026422,0.00026422
87,2706.4,0.75639,0.69648,1.09724,0.96111,0.80994,0.91294,0.61329,1.14987,0.79472,1.12596,0.000247716,0.000247716,0.000247716
88,2736.86,0.72133,0.58941,1.04563,0.92558,0.8282,0.91056,0.58587,1.22233,0.76626,1.17769,0.000231213,0.000231213,0.000231213
89,2778.93,0.68811,0.55136,1.01305,0.96402,0.88194,0.94609,0.60005,1.18626,0.75908,1.15859,0.00021471,0.00021471,0.00021471
90,2815.42,0.73766,0.5922,1.06272,0.92792,0.90955,0.94827,0.61085,1.10555,0.72158,1.1125,0.000198206,0.000198206,0.000198206
91,2851.51,0.98847,0.66636,1.16198,0.92588,0.87847,0.91845,0.60235,1.13749,0.74429,1.12946,0.000181703,0.000181703,0.000181703
92,2884.56,0.9474,0.61099,1.12201,0.91904,0.87819,0.9069,0.60732,1.14123,0.75026,1.13274,0.0001652,0.0001652,0.0001652
93,2920,0.94433,0.62589,1.15699,0.92627,0.87847,0.89523,0.61979,1.09767,0.72808,1.12329,0.000148696,0.000148696,0.000148696
94,2957.37,0.95059,0.6196,1.11701,0.92911,0.87847,0.891,0.60435,1.10628,0.73665,1.13065,0.000132193,0.000132193,0.000132193
95,2991.47,0.96335,0.64529,1.16639,0.92815,0.87847,0.90361,0.62631,1.11159,0.724,1.13366,0.00011569,0.00011569,0.00011569
96,3025.24,0.94587,0.59109,1.11651,0.96582,0.90972,0.94657,0.64491,1.08578,0.69381,1.11641,9.91865e-05,9.91865e-05,9.91865e-05
97,3062.81,0.93127,0.61636,1.0883,0.9646,0.90972,0.9434,0.65865,1.08968,0.69545,1.11261,8.26832e-05,8.26832e-05,8.26832e-05
98,3103.58,0.8958,0.57492,1.08508,0.96757,0.90972,0.93985,0.64889,1.10349,0.70571,1.10915,6.61799e-05,6.61799e-05,6.61799e-05
99,3137.7,0.91603,0.59392,1.10806,0.96747,0.90972,0.94088,0.65042,1.10518,0.70645,1.10928,4.96766e-05,4.96766e-05,4.96766e-05
100,3176.2,0.91781,0.59336,1.11842,0.96696,0.90972,0.93839,0.64378,1.11897,0.68402,1.12551,3.31733e-05,3.31733e-05,3.31733e-05
